Chromosome_A,Start_A,End_A,Chromosome_B,Start_B,End_B
chr1,10574876,10574876,chr6,6231672,6231672
chr1,13983295,13983295,chr10,4385675,4385675
chr2,1840289,1840289,chr9,10536204,10536204
chr2,1943102,1943102,chr3,15288323,15288323
chr2,5474393,5474393,chr5,953408,953408
chr2,5531174,5531174,chr6,6323981,6323981
chr2,8092739,8092739,chr6,6356680,6356680
chr2,8092739,8092739,chr6,7049019,7049019
chr2,11702430,11702430,chr6,6323981,6323981
chr3,2301889,2301889,chr3,7902861,7902861
chr3,2301889,2301889,chr6,6231672,6231672
chr3,5982119,5982119,chr10,4536828,4536828
chr3,6703647,6703647,chr10,4536828,4536828
chr3,7902861,7902861,chr6,6231672,6231672
chr3,7902861,7902861,chr7,11574468,11574468
chr3,7902861,7902861,chr8,13580037,13580037
chr3,7902861,7902861,chr10,4180858,4180858
chr3,7902861,7902861,chr10,4536828,4536828
chr3,8302501,8302501,chr10,4536828,4536828
chr3,8453874,8453874,chr5,953408,953408
chr3,8453874,8453874,chr10,4536828,4536828
chr3,8605421,8605421,chr3,10212630,10212630
chr3,8838520,8838520,chr10,4536828,4536828
chr3,10705559,10705559,chr5,953408,953408
chr3,11164905,11164905,chr10,4536828,4536828
chr3,11493640,11493640,chr10,4180858,4180858
chr3,11715824,11715824,chr10,4180858,4180858
chr3,11715824,11715824,chr10,4536828,4536828
chr3,11715832,11715832,chr10,4180858,4180858
chr3,11715832,11715832,chr10,4536828,4536828
chr3,11846093,11846093,chr10,4536828,4536828
chr3,12137694,12137694,chr10,4536828,4536828
chr3,12231849,12231849,chr10,4536828,4536828
chr3,12255265,12255265,chr6,6323981,6323981
chr3,12255265,12255265,chr10,4385675,4385675
chr3,12255265,12255265,chr10,4536828,4536828
chr3,12255265,12255265,chr10,4684608,4684608
chr3,12395014,12395014,chr10,4536828,4536828
chr3,12662263,12662263,chr10,4385675,4385675
chr3,12768918,12768918,chr10,4536828,4536828
chr3,13316800,13316800,chr10,4385675,4385675
chr3,13804729,13804729,chr5,154063,154063
