Chromosome_A,Start_A,End_A,Chromosome_B,Start_B,End_B
chr1,45759,45759,chr8,6648404,6648404
chr1,900035,900035,chr6,8335974,8335974
chr1,1877833,1877833,chr8,4213811,4213811
chr1,1892632,1892632,chr6,9334067,9334067
chr1,4638908,4638908,chr6,1073385,1073385
chr1,5140429,5140429,chr8,6275833,6275833
chr1,5233140,5233140,chr6,1111807,1111807
chr1,6330583,6330583,chr6,9334067,9334067
chr1,6330583,6330583,chr6,9765279,9765279
chr1,6362180,6362180,chr6,8414993,8414993
chr1,6362180,6362180,chr6,9765279,9765279
chr1,6458768,6458768,chr1,13337929,13337929
chr1,6458768,6458768,chr6,9334067,9334067
chr1,6458768,6458768,chr8,4213811,4213811
chr1,6585721,6585721,chr6,9334067,9334067
chr1,6889169,6889169,chr8,6275833,6275833
chr1,6936194,6936194,chr8,6387236,6387236
chr1,11435403,11435403,chr8,6387236,6387236
chr1,11676853,11676853,chr8,5950976,5950976
chr1,11915424,11915424,chr6,9334067,9334067
chr1,11915424,11915424,chr8,6435845,6435845
chr1,11946852,11946852,chr6,9628420,9628420
chr1,12076638,12076638,chr6,9334067,9334067
chr1,12205841,12205841,chr8,6969802,6969802
chr1,12252948,12252948,chr3,11229439,11229439
chr1,12252948,12252948,chr6,529999,529999
chr1,12252948,12252948,chr6,9181388,9181388
chr1,12252948,12252948,chr8,8502286,8502286
chr1,12252948,12252948,chr10,4449423,4449423
chr1,12252948,12252948,chr10,4559245,4559245
chr1,12349060,12349060,chr8,7690154,7690154
chr1,12402929,12402929,chr10,4468984,4468984
chr1,12539549,12539549,chr8,5730545,5730545
chr1,12539549,12539549,chr8,6664757,6664757
chr1,12539549,12539549,chr8,6969802,6969802
chr1,12671262,12671262,chr6,1247406,1247406
chr1,12671262,12671262,chr8,6387236,6387236
chr1,12671262,12671262,chr10,4468984,4468984
chr1,12671262,12671262,chr10,4498774,4498774
chr1,12671262,12671262,chr10,4554071,4554071
chr1,12671262,12671262,chr10,4740843,4740843
chr1,12874656,12874656,chr10,4488807,4488807
chr1,12925246,12925246,chr2,10181936,10181936
chr1,12925246,12925246,chr6,9334067,9334067
chr1,12925246,12925246,chr7,5428648,5428648
chr1,12925246,12925246,chr10,4498774,4498774
chr1,12925246,12925246,chr10,4697761,4697761
chr1,13045788,13045788,chr8,5950976,5950976
chr1,13045788,13045788,chr10,4740843,4740843
chr1,13337929,13337929,chr3,13938174,13938174
chr1,13337929,13337929,chr7,13139532,13139532
chr1,13337929,13337929,chr8,3823874,3823874
chr1,13337929,13337929,chr8,4403941,4403941
chr1,13337929,13337929,chr8,6969802,6969802
chr1,13337929,13337929,chr8,7017455,7017455
chr1,13337929,13337929,chr8,7628934,7628934
chr1,13337929,13337929,chr10,4488807,4488807
chr1,13337929,13337929,chr10,4508754,4508754
chr1,13337929,13337929,chr10,4508758,4508758
chr1,13337929,13337929,chr10,4676080,4676080
chr1,13337929,13337929,chr10,4740843,4740843
chr1,13371005,13371005,chr6,9273017,9273017
chr1,13371005,13371005,chr8,5950976,5950976
chr1,13371005,13371005,chr8,6275833,6275833
chr1,13371005,13371005,chr8,6648404,6648404
chr1,13371005,13371005,chr10,4468984,4468984
chr1,13371005,13371005,chr10,4488807,4488807
chr1,13371005,13371005,chr10,4498774,4498774
chr1,13371005,13371005,chr10,4554071,4554071
chr1,13371005,13371005,chr10,4597560,4597560
chr1,13371005,13371005,chr10,4697761,4697761
chr1,13371005,13371005,chr10,4769014,4769014
chr1,13806921,13806921,chr8,6648404,6648404
chr1,14138893,14138893,chr6,8145335,8145335
chr1,14138893,14138893,chr8,5442856,5442856
chr1,14138893,14138893,chr10,4468984,4468984
chr1,14333043,14333043,chr8,6648404,6648404
chr1,14554093,14554093,chr8,5950976,5950976
chr1,14670961,14670961,chr10,4488807,4488807
