Chromosome_A,Start_A,End_A,Chromosome_B,Start_B,End_B
chr1,0,0,chr1,3778571,3778571
chr1,0,0,chr8,8227304,8227304
chr1,137790,137790,chr8,7784451,7784451
chr1,155162,155162,chr4,9781631,9781631
chr1,155162,155162,chr8,8305920,8305920
chr1,155162,155162,chr10,4726427,4726427
chr1,155162,155162,chr10,5314796,5314796
chr1,155162,155162,chr10,7781984,7781984
chr1,207417,207417,chr4,4706639,4706639
chr1,207417,207417,chr8,7784451,7784451
chr1,207417,207417,chr8,8165667,8165667
chr1,645586,645586,chr8,8227304,8227304
chr1,813269,813269,chr1,19858097,19858097
chr1,813269,813269,chr10,5314796,5314796
chr1,1023077,1023077,chr10,4726427,4726427
chr1,1385283,1385283,chr1,9280143,9280143
chr1,1385283,1385283,chr1,9333991,9333991
chr1,1385283,1385283,chr2,14672003,14672003
chr1,1385283,1385283,chr4,9409518,9409518
chr1,1385283,1385283,chr8,7281028,7281028
chr1,1385283,1385283,chr8,7644872,7644872
chr1,1385283,1385283,chr8,7877171,7877171
chr1,1385283,1385283,chr8,8509155,8509155
chr1,1385283,1385283,chr9,8057367,8057367
chr1,1385283,1385283,chr9,8849308,8849308
chr1,1385283,1385283,chr10,4823683,4823683
chr1,1385283,1385283,chr10,5375723,5375723
chr1,1385283,1385283,chr10,6001955,6001955
chr1,1385283,1385283,chr10,7781984,7781984
chr1,1385283,1385283,chr10,11211437,11211437
chr1,1569055,1569055,chr10,4726427,4726427
chr1,1684747,1684747,chr1,19693106,19693106
chr1,1704189,1704189,chr10,4823683,4823683
chr1,1819608,1819608,chr1,19858097,19858097
chr1,2066625,2066625,chr10,5314796,5314796
chr1,2601078,2601078,chr5,14835848,14835848
chr1,3312952,3312952,chr4,9196219,9196219
chr1,3312952,3312952,chr6,12232142,12232142
chr1,3312952,3312952,chr10,6041480,6041480
chr1,3385026,3385026,chr5,3882322,3882322
chr1,3385026,3385026,chr8,7644872,7644872
chr1,3385026,3385026,chr8,8509179,8509179
chr1,3761227,3761227,chr1,8455311,8455311
chr1,3761227,3761227,chr9,8099526,8099526
chr1,3761227,3761227,chr10,5941068,5941068
chr1,3778571,3778571,chr4,9605313,9605313
chr1,3778571,3778571,chr8,8509155,8509155
chr1,3883745,3883745,chr8,8227304,8227304
chr1,4289029,4289029,chr8,7738451,7738451
chr1,4393692,4393692,chr5,2130612,2130612
chr1,5723096,5723096,chr8,6913182,6913182
chr1,6077071,6077071,chr8,8509179,8509179
chr1,6534116,6534116,chr1,8170224,8170224
chr1,7094473,7094473,chr8,8227304,8227304
chr1,7220804,7220804,chr1,9280143,9280143
chr1,7402319,7402319,chr10,5738701,5738701
chr1,8152448,8152448,chr8,8509155,8509155
chr1,8170224,8170224,chr8,7281028,7281028
chr1,8170224,8170224,chr8,7644872,7644872
chr1,8170224,8170224,chr8,7877171,7877171
chr1,8170224,8170224,chr10,5738701,5738701
chr1,8455311,8455311,chr2,12058773,12058773
chr1,8455311,8455311,chr2,12534120,12534120
chr1,8455311,8455311,chr2,17176647,17176647
chr1,8455311,8455311,chr3,580095,580095
chr1,8455311,8455311,chr3,2281507,2281507
chr1,8455311,8455311,chr3,3324827,3324827
chr1,8455311,8455311,chr4,5633070,5633070
chr1,8455311,8455311,chr4,11962122,11962122
chr1,8455311,8455311,chr8,7406763,7406763
chr1,8455311,8455311,chr8,7784451,7784451
chr1,8455311,8455311,chr8,8694925,8694925
chr1,8455311,8455311,chr9,8099526,8099526
chr1,8455311,8455311,chr10,5151789,5151789
chr1,8455311,8455311,chr10,5941068,5941068
chr1,8683025,8683025,chr8,8227304,8227304
chr1,8683025,8683025,chr10,4726436,4726436
chr1,8683025,8683025,chr10,5416853,5416853
chr1,8700864,8700864,chr4,8745461,8745461
chr1,8700864,8700864,chr8,8165667,8165667
chr1,8700864,8700864,chr9,5812385,5812385
chr1,8754210,8754210,chr8,8227304,8227304
chr1,8825977,8825977,chr4,8763059,8763059
chr1,8825977,8825977,chr8,6862362,6862362
chr1,8825977,8825977,chr8,7644872,7644872
chr1,8825977,8825977,chr8,8196520,8196520
chr1,8825977,8825977,chr10,4726427,4726427
chr1,8825977,8825977,chr10,5941068,5941068
chr1,9114765,9114765,chr1,12046284,12046284
chr1,9114765,9114765,chr8,8165667,8165667
chr1,9114765,9114765,chr8,8227304,8227304
chr1,9114765,9114765,chr8,8509179,8509179
chr1,9114765,9114765,chr9,5812385,5812385
chr1,9206166,9206166,chr5,5742576,5742576
chr1,9206166,9206166,chr6,11107991,11107991
chr1,9206166,9206166,chr6,12010650,12010650
