Chromosome_A,Start_A,End_A,Chromosome_B,Start_B,End_B
chr1,94954,94954,chr1,3123840,3123840
chr1,94954,94954,chr10,3871376,3871376
chr1,94958,94958,chr2,5347124,5347124
chr1,94958,94958,chr8,6836888,6836888
chr1,94958,94958,chr9,8506631,8506631
chr1,94958,94958,chr10,4255443,4255443
chr1,94958,94958,chr10,4304712,4304712
chr1,773409,773409,chr6,6955550,6955550
chr1,1649561,1649561,chr10,3381492,3381492
chr1,1649561,1649561,chr10,4130929,4130929
chr1,1649561,1649561,chr10,4304712,4304712
chr1,2550160,2550160,chr8,6836888,6836888
chr1,3536242,3536242,chr10,4255443,4255443
chr1,4539350,4539350,chr10,4255443,4255443
chr1,4560027,4560027,chr6,6955550,6955550
chr1,4560027,4560027,chr10,3871376,3871376
chr1,9489689,9489689,chr8,6836888,6836888
chr1,12235238,12235238,chr10,4130929,4130929
chr1,14672938,14672938,chr10,4130929,4130929
chr2,20258,20258,chr10,4078621,4078621
chr2,738881,738881,chr10,4078621,4078621
chr2,4807606,4807606,chr8,6786524,6786524
chr2,4807606,4807606,chr10,4304712,4304712
chr2,4807606,4807606,chr10,9064238,9064238
chr2,4867658,4867658,chr5,757044,757044
chr2,4867658,4867658,chr10,4255443,4255443
chr2,5279401,5279401,chr10,4130929,4130929
chr2,5347124,5347124,chr6,3134853,3134853
chr2,5347124,5347124,chr6,3245435,3245435
chr2,5347124,5347124,chr8,6786524,6786524
chr2,5347124,5347124,chr10,4255443,4255443
chr2,5347124,5347124,chr10,9342680,9342680
chr2,5393704,5393704,chr8,6836888,6836888
chr2,5393704,5393704,chr10,3359398,3359398
chr2,5393704,5393704,chr10,4130929,4130929
chr2,6105506,6105506,chr8,6836888,6836888
chr2,6592888,6592888,chr10,4304712,4304712
chr2,6836056,6836056,chr8,6786524,6786524
chr2,6836056,6836056,chr10,4255443,4255443
chr2,6855579,6855579,chr8,6836888,6836888
chr2,6855579,6855579,chr10,3871376,3871376
chr2,7429295,7429295,chr5,1411285,1411285
chr2,7429295,7429295,chr10,4078621,4078621
chr2,7429295,7429295,chr10,4130929,4130929
chr2,7468463,7468463,chr10,3871376,3871376
chr2,7468463,7468463,chr10,4304712,4304712
chr2,7565428,7565428,chr3,9699082,9699082
chr2,7565428,7565428,chr6,4214188,4214188
chr2,7565428,7565428,chr6,4599836,4599836
chr2,7565428,7565428,chr6,4660714,4660714
chr2,7565428,7565428,chr8,6836888,6836888
chr2,7565428,7565428,chr10,4130929,4130929
chr2,7871441,7871441,chr6,4599836,4599836
chr2,7871441,7871441,chr8,6836888,6836888
chr2,7871441,7871441,chr10,4304712,4304712
chr2,8039820,8039820,chr6,4660714,4660714
chr2,8039820,8039820,chr8,6836888,6836888
chr2,8323001,8323001,chr6,4660714,4660714
chr2,8323001,8323001,chr10,4304712,4304712
chr2,8323001,8323001,chr10,9064238,9064238
chr2,8343020,8343020,chr10,3871376,3871376
chr2,8633367,8633367,chr8,11109865,11109865
chr2,11133072,11133072,chr6,4660714,4660714
chr2,11576480,11576480,chr6,3134853,3134853
chr2,15069564,15069564,chr10,4130929,4130929
chr3,5017235,5017235,chr8,6836888,6836888
chr3,6765520,6765520,chr10,3871376,3871376
chr3,6857020,6857020,chr10,3871376,3871376
chr3,11898761,11898761,chr10,4304712,4304712
chr3,13075950,13075950,chr8,6836888,6836888
chr3,13402011,13402011,chr10,3871376,3871376
chr3,13548254,13548254,chr10,3359398,3359398
chr3,13985104,13985104,chr10,3871376,3871376
chr4,395018,395018,chr10,4304712,4304712
chr4,415648,415648,chr10,3871376,3871376
chr4,980145,980145,chr10,4304712,4304712
chr4,15052804,15052804,chr6,3134853,3134853
chr5,757044,757044,chr6,11470725,11470725
chr5,757044,757044,chr8,12927195,12927195
chr5,757044,757044,chr10,4255443,4255443
chr5,1143982,1143982,chr8,6786524,6786524
chr5,1143982,1143982,chr8,11109865,11109865
chr5,1143982,1143982,chr9,4498374,4498374
chr5,1143982,1143982,chr10,4078621,4078621
chr5,1411285,1411285,chr8,11109865,11109865
chr5,1411285,1411285,chr9,3886735,3886735
chr5,1411285,1411285,chr9,4498374,4498374
chr5,1411285,1411285,chr10,4078621,4078621
chr5,1411285,1411285,chr10,4304712,4304712
chr5,1417895,1417895,chr10,4255443,4255443
