Chromosome	start	end	Name	colour
chr2	8626646	21586	2_0	blue2
chr8	0	10002	8_0	blue4
chr1	5248	25252	1_0.152502353	blue5
chr1	33320	58190	1_0.457595866	blue3
chr1	91230	121158	1_1.061795696	blue2
chr1	309374	329378	1_3.193767435	blue4
chr1	371909	406468	1_3.81911567	blue4
chr1	387429	407433	1_3.974316271	blue1
chr1	402987	437464	1_4.129895817	blue3
chr1	499225	540848	1_5.092272519	blue3
chr1	477610	519233	1_5.092316002	blue4
chr1	515105	535110	1_5.251080341	blue1
chr1	543175	570311	1_5.567397104	blue1
chr1	562374	585976	1_5.723766827	blue3
chr1	574505	601724	1_5.881047681	blue1
chr1	594008	621247	1_6.040106544	blue2
chr1	602621	629881	1_6.198796529	blue1
chr1	618478	645738	1_6.3573668	blue1
chr1	627062	661644	1_6.516425663	blue7
chr1	673514	693516	1_6.83516325	blue7
chr1	674687	709287	1_6.992855992	blue5
chr1	728685	755998	1_7.459964837	blue8
chr1	766498	786503	1_7.765011252	blue9
chr1	781801	801805	1_7.918032135	blue9
chr1	797098	820690	1_8.071009535	blue10
chr1	825143	863655	1_8.536534886	blue10
chr1	887566	912480	1_9.000272532	blue9
chr1	887589	910038	1_9.0003595	blue9
chr1	904828	939607	1_9.296053107	blue8
chr1	980485	1000489	1_9.904873976	blue8
chr1	1003379	1038251	1_10.20818943	blue8
chr1	1026024	1053502	1_10.36026913	blue5
chr1	1033870	1061348	1_10.51346431	blue5
chr1	1041348	1063882	1_10.51350779	blue10
chr1	1038823	1063878	1_10.51355127	blue1
chr1	1069810	1094846	1_10.82333695	blue9
chr1	1103516	1127201	1_11.13518213	blue4
chr1	1146600	1170304	1_11.60302785	blue9
chr1	1196965	1216969	1_12.06967188	blue9
chr1	1236406	1258912	1_12.46408475	blue8
chr1	1337036	1357040	1_13.47038532	blue9
chr1	1334759	1362292	1_13.52290251	blue9
chr1	1350218	1375229	1_13.6272333	blue10
chr1	1426652	1451594	1_14.39127139	blue8
chr1	1456537	1486375	1_14.68998166	blue9
chr1	1473611	1493618	1_14.83613329	blue1
chr1	1450546	1508181	1_14.9817967	blue9
chr1	1645876	1673355	1_16.59618073	blue9
chr1	1669383	1696870	1_16.79385281	blue8
chr1	1661904	1689391	1_16.7938963	blue8
chr1	1715021	1743732	1_17.25030791	blue9
chr1	1706333	1757576	1_17.25035139	blue8
chr1	1707813	1773331	1_17.40354657	blue9
chr1	1804445	1829625	1_18.17029828	blue7
chr1	1798967	1842314	1_18.32312515	blue4
chr1	1844667	1887835	1_18.77833331	blue5
chr1	1853822	1902634	1_18.92632734	blue5
chr1	1897629	1917633	1_19.07631639	blue8
