Chromosome	start	end	ZmGene	days2anthesis
chr1	15766125	15927597	PhyA1	transduction
chr1	2784900	2946554	PhyB1	transduction
chr1	16216423	16377695	PhyC1	transduction
chr5	611382	765470	PhyA2	transduction
chr5	414247	568186	PhyC2	transduction
chr9	10438521	10596939	PhyB2	transduction
chr9	2751638	2909897	COL1	photoperiod
chr10	6011251	6167759	ZmCCT	photoperiod
chr9	10711448	10869988	ZmPRR73	clock
chr8	1513693	1680823	GIGZ1A	clock
chr3	512491	678411	GIGZ1B	clock
chr10	4960436	5116836	ZmCCA1	clock
chr10	4960436	5116836	ZmLHY1	clock
chr4	13437987	13620077	ZmFKF1a	clock
chr4	1929102	9546555	ZmLHY2	clock
chr4	9034236	9216310	ZmTOC1	clock
chr2	14807213	14975670	ZmFKF1b	clock
chr2	14986273	15310139	ZmHD6	clock
chr1	14007957	14169127	ID1	autonomous
chr3	10024410	10190262	ZmLD	autonomous
chr10	780459	5671897	LDL1	autonomous
chr2	9771657	12130283	FCA	autonomous
chr7	12400047	12573567	DLF1	integrator_clock
chr7	12397783	12400047	ZmPRR37	clock
chr8	12059713	12226504	ZmHy2	transduction_clock
chr8	10695108	12059713	LUX	clock
chr8	12226504	12248267	LUX	clock
chr8	9241382	9408009	ZCN8	photoperiod
chr9	7456960	7615139	GL15	aging
chr3	363904	529096	miR156	aging
chr3	9256741	9421971	miR172	aging
