Chromosome	start	end	ZmGene	days2anthesis
chr8	10695108	12248267	VGT1	autonomous
chr1	15584674	15745820	D8	GA
chr1	15880308	16041735	KN1	GA
chr5	728296	882103	D9	GA
chr6	9366301	9552430	GA2ox1	GA
chr1	16225448	16388146	ZMM4	integrator
chr9	11630158	11710703	ZMM5	integrator
chr8	9902034	10068815	ZmRAP2.7	integrator
chr10	8977094	9133634	ZFL1	integrator
chr4	6872629	7054597	ZCN2	integrator
chr2	15225365	15310139	ZAP1	integrator
chr2	762704	931313	ZFL2	integrator
chr7	66668	240877	ZAP1b	integrator
chr8	9241382	9408009	ZCN8	photoperiod
chr9	7456960	7615139	GL15	aging
chr3	363904	529096	miR156	aging
chr3	9256741	9421971	miR172	aging
