Chromosome	start	end	ZmGene	days2anthesis
chr8	11576698	13257884	VGT1	autonomous
chr1	15555137	15715977	D8	GA
chr1	15850210	16011331	KN1	GA
chr5	876346	1061420	D9	GA
chr6	9617159	9808274	GA2ox1	GA
chr1	16194696	16357086	ZMM4	integrator
chr9	14523333	14623914	ZMM5	integrator
chr8	10718252	10898781	ZmRAP2.7	integrator
chr10	10267598	10446642	ZFL1	integrator
chr4	5659891	5809749	ZCN2	integrator
chr2	17244428	17340444	ZAP1	integrator
chr2	863848	1054816	ZFL2	integrator
chr7	72817	263096	ZAP1b	integrator
chr8	10003143	10183505	ZCN8	photoperiod
chr9	9311989	9509518	GL15	aging
chr3	401338	583524	miR156	aging
chr3	10208964	10391191	miR172	aging
