Chromosome	start	end	ZmGene	days2anthesis
chr8	10238935	11725849	VGT1	autonomous
chr1	14685018	14836861	D8	GA
chr1	14963586	15115694	KN1	GA
chr5	815630	987881	D9	GA
chr6	9224757	9408074	GA2ox1	GA
chr1	15288801	15442108	ZMM4	integrator
chr9	12764203	12852602	ZMM5	integrator
chr8	9479688	9639355	ZmRAP2.7	integrator
chr10	10119088	10295542	ZFL1	integrator
chr4	6448507	6619245	ZCN2	integrator
chr2	15763111	15850879	ZAP1	integrator
chr2	789642	964206	ZFL2	integrator
chr7	71490	258300	ZAP1b	integrator
chr8	8847214	9006734	ZCN8	photoperiod
chr9	8184081	8357684	GL15	aging
chr3	404979	588818	miR156	aging
chr3	10301595	10485475	miR172	aging
